year,source_country,destination_country,dst_distance,dst_students_count,dst_average_wage,dst_rate_of_one_usd,dst_cpi,dst_qoe_top20,dst_qoe_top100,dst_qoe_top200,dst_qoe_top500,src_population,src_qoe_top20,src_qoe_top100,src_qoe_top200,src_qoe_top500,src_gni,src_gdp,src_rate_of_one_usd,src_tertiary_enrolment
1998,Indonesia,United Kingdom,11758,1090,41623.0,0.603823594,79.12890697,2,12,20,44,205724592,0,0,0,0,660.0,95445547873.0,10013.6225,13.3598299
2001,Indonesia,United Kingdom,11758,1054,40840.0,0.694655,82.71684853,1,13,20,43,214427417,0,0,0,0,720.0,160000000000.0,10260.85,14.18719959
2009,Indonesia,United Kingdom,11758,1029,45455.0,0.641919263,97.56796745,2,11,23,40,238620563,0,0,0,0,2150.0,540000000000.0,10389.9375,22.37511063
2000,Indonesia,United Kingdom,11758,1028,38908.0,0.660930833,81.4684668,1,13,20,43,211513823,0,0,0,0,580.0,165000000000.0,8421.775,14.87963009
2008,Indonesia,United Kingdom,11758,924,44679.0,0.54396625,95.69077122,2,11,22,42,235469762,0,0,0,0,1940.0,510000000000.0,9698.9625,20.42921066
2003,Indonesia,United Kingdom,11758,899,42652.0,0.6124725,85.13038654,1,14,20,42,220309469,0,0,0,0,900.0,235000000000.0,8577.133333,16.02532959
2002,Indonesia,United Kingdom,11758,891,41517.0,0.667223333,83.97447753,1,13,20,42,217357793,0,0,0,0,790.0,196000000000.0,9311.191667,14.80883026
2017,Indonesia,New Zealand,7548,705,41954.0,1.407408333,110.6515787,0,0,0,4,264645886,0,0,0,0,3530.0,1020000000000.0,13380.83388,36.27719116
2016,Indonesia,New Zealand,7548,709,41765.0,1.436525,108.640867,0,0,1,4,261554226,0,0,0,0,3400.0,932000000000.0,13308.3268,30.25484
2015,Indonesia,New Zealand,7548,567,40256.0,1.433975,107.9432939,0,0,0,2,258383256,0,0,0,0,3430.0,861000000000.0,13389.41294,29.27643
2014,Indonesia,New Zealand,7548,522,39419.0,1.205433333,107.628261,0,0,0,4,255129004,0,0,0,0,3620.0,891000000000.0,11865.2113,29.56034088
2013,Indonesia,New Zealand,7548,416,39111.0,1.219407974,106.3231365,0,0,0,5,251806402,0,0,0,0,3730.0,913000000000.0,10461.24,29.46726036
2012,Indonesia,New Zealand,7548,372,39622.0,1.234283655,105.1305122,0,0,1,5,248452413,0,0,0,0,3580.0,918000000000.0,9386.629167,28.69833946
2011,Indonesia,New Zealand,7548,356,38804.0,1.265810697,104.0279067,0,0,0,5,245116206,0,0,0,0,3010.0,893000000000.0,8770.433333,24.77696991
2010,Indonesia,New Zealand,7548,320,38803.0,1.387833828,100.0,0,0,0,5,241834215,0,0,0,0,2530.0,755000000000.0,9090.433333,23.03973961
2009,Indonesia,New Zealand,7548,304,38433.0,1.600877295,97.74977682,0,0,0,5,238620563,0,0,0,0,2150.0,540000000000.0,10389.9375,22.37511063
2008,Indonesia,New Zealand,7548,287,37965.0,1.42272681,95.72457871,0,0,0,5,235469762,0,0,0,0,1940.0,510000000000.0,9698.9625,20.42921066
2007,Indonesia,New Zealand,7548,283,38388.0,1.360675229,92.07920942,0,0,0,5,232374245,0,0,0,0,1600.0,432000000000.0,9141.0,17.76985931
2005,Indonesia,New Zealand,7548,350,36022.0,1.420273457,87.01369677,0,0,0,5,226289470,0,0,0,0,1220.0,286000000000.0,9704.741667,17.25584984
2004,Indonesia,New Zealand,7548,402,35420.0,1.508681271,84.44896209,0,0,0,3,223285676,0,0,0,0,1080.0,257000000000.0,8938.85,16.6164608
2003,Indonesia,New Zealand,7548,321,34211.0,1.722099146,82.55817431,0,0,0,5,220309469,0,0,0,0,900.0,235000000000.0,8577.133333,16.02532959
2002,Indonesia,New Zealand,7548,368,33005.0,2.162190833,81.13540459,0,0,0,5,217357793,0,0,0,0,790.0,196000000000.0,9311.191667,14.80883026
2001,Indonesia,New Zealand,7548,398,32391.0,2.378750833,79.01996692,0,0,0,5,214427417,0,0,0,0,720.0,160000000000.0,10260.85,14.18719959
2000,Indonesia,New Zealand,7548,355,31806.0,2.201149167,76.99813727,0,0,0,5,211513823,0,0,0,0,580.0,165000000000.0,8421.775,14.87963009
1999,Indonesia,New Zealand,7548,349,32192.0,1.889613899,75.03577581,0,0,0,5,208615169,0,0,0,0,570.0,140000000000.0,7855.15,14.74952984
1998,Indonesia,New Zealand,7548,272,31643.0,1.868249167,75.12161512,0,0,0,5,205724592,0,0,0,0,660.0,95445547873.0,10013.6225,13.3598299
2006,Indonesia,New Zealand,7548,315,36253.0,1.542055757,89.94205743,0,0,0,5,229318262,0,0,0,0,1380.0,365000000000.0,9159.316667,17.31292915
2016,Indonesia,United States of America,14952,9303,62153.0,1.0,110.0670089,15,50,71,137,261554226,0,0,0,0,3400.0,932000000000.0,13308.3268,30.25484
2015,Indonesia,United States of America,14952,8922,62106.0,1.0,108.695722,16,51,78,146,258383256,0,0,0,0,3430.0,861000000000.0,13389.41294,29.27643
2014,Indonesia,United States of America,14952,7530,60618.0,1.0,108.5669321,16,52,77,146,255129004,0,0,0,0,3620.0,891000000000.0,11865.2113,29.56034088
2013,Indonesia,United States of America,14952,7340,59766.0,1.0,106.8338489,17,52,85,149,251806402,0,0,0,0,3730.0,913000000000.0,10461.24,29.46726036
2012,Indonesia,United States of America,14952,6907,60047.0,1.0,105.2915045,17,53,85,150,248452413,0,0,0,0,3580.0,918000000000.0,9386.629167,28.69833946
2011,Indonesia,United States of America,14952,6809,59562.0,1.0,103.1568416,17,53,89,151,245116206,0,0,0,0,3010.0,893000000000.0,8770.433333,24.77696991
2010,Indonesia,United States of America,14952,6882,59477.0,1.0,100.0,17,54,89,154,241834215,0,0,0,0,2530.0,755000000000.0,9090.433333,23.03973961
2009,Indonesia,United States of America,14952,7386,58873.0,1.0,98.38641997,17,55,90,152,238620563,0,0,0,0,2150.0,540000000000.0,10389.9375,22.37511063
2008,Indonesia,United States of America,14952,7700,58401.0,1.0,98.73747739,17,54,90,159,235469762,0,0,0,0,1940.0,510000000000.0,9698.9625,20.42921066
2007,Indonesia,United States of America,14952,7500,58597.0,1.0,95.08699238,17,54,88,166,232374245,0,0,0,0,1600.0,432000000000.0,9141.0,17.76985931
2006,Indonesia,United States of America,14952,7844,57454.0,1.0,92.44970508,17,54,87,167,229318262,0,0,0,0,1380.0,365000000000.0,9159.316667,17.31292915
2005,Indonesia,United States of America,14952,8105,56557.0,1.0,89.56053237,17,53,90,168,226289470,0,0,0,0,1220.0,286000000000.0,9704.741667,17.25584984
2004,Indonesia,United States of America,14952,8880,56490.0,1.0,86.62167812,17,51,90,170,223285676,0,0,0,0,1080.0,257000000000.0,8938.85,16.6164608
2003,Indonesia,United States of America,14952,10432,55460.0,1.0,84.36307882,17,55,96,172,220309469,0,0,0,0,900.0,235000000000.0,8577.133333,16.02532959
2002,Indonesia,United States of America,14952,11614,54788.0,1.0,82.49046688,18,56,97,175,217357793,0,0,0,0,790.0,196000000000.0,9311.191667,14.80883026
2001,Indonesia,United States of America,14952,10082,54360.0,1.0,81.20256846,18,56,99,177,214427417,0,0,0,0,720.0,160000000000.0,10260.85,14.18719959
2000,Indonesia,United States of America,14952,10432,53904.0,1.0,78.97072076,18,56,100,179,211513823,0,0,0,0,580.0,165000000000.0,8421.775,14.87963009
1999,Indonesia,United States of America,14952,11177,53649.0,1.0,76.39110227,18,57,102,182,208615169,0,0,0,0,570.0,140000000000.0,7855.15,14.74952984
1998,Indonesia,United States of America,14952,11800,53148.0,1.0,74.75543306,18,57,103,185,205724592,0,0,0,0,660.0,95445547873.0,10013.6225,13.3598299
